boro_ct,N_trees,tree_diameter,N_dead,Pct_health,Pct_noproblems
1000201,66.0,7.0606060606060606,4.0,0.696969696969697,0.6515151515151515
1000202,210.0,9.976190476190476,6.0,0.7714285714285715,0.6904761904761905
1000600,168.0,6.857142857142857,13.0,0.75,0.7738095238095238
1000700,130.0,6.138461538461539,8.0,0.45384615384615384,0.5384615384615384
1000800,281.0,9.195729537366548,7.0,0.7722419928825622,0.5409252669039146
1000900,82.0,6.7439024390243905,0.0,0.7560975609756098,0.8048780487804879
1001001,21.0,10.19047619047619,1.0,0.6666666666666666,0.3333333333333333
1001002,50.0,8.92,6.0,0.64,0.46
1001200,104.0,11.432692307692308,7.0,0.7596153846153846,0.6923076923076923
1001300,88.0,5.25,6.0,0.875,0.5795454545454546
1001401,81.0,7.864197530864198,2.0,0.8271604938271605,0.8765432098765432
1001402,123.0,8.829268292682928,5.0,0.5284552845528455,0.7642276422764228
1001501,161.0,7.434782608695652,0.0,0.7204968944099379,0.9627329192546584
1001502,55.0,6.127272727272727,1.0,0.7454545454545455,0.7454545454545455
1001600,269.0,6.446096654275093,14.0,0.7881040892193308,0.8178438661710037
1001800,301.0,8.338870431893687,7.0,0.840531561461794,0.7774086378737541
1002000,23.0,6.521739130434782,2.0,0.8260869565217391,0.8260869565217391
1002100,228.0,6.25,7.0,0.8070175438596491,0.6842105263157895
1002201,112.0,8.008928571428571,7.0,0.7767857142857143,0.75
1002202,113.0,8.150442477876107,3.0,0.8938053097345132,0.831858407079646
1002400,48.0,5.041666666666667,2.0,0.6666666666666666,0.8958333333333334
1002500,42.0,9.833333333333334,1.0,0.8095238095238095,0.5714285714285714
1002601,196.0,9.107142857142858,7.0,0.7653061224489796,0.7908163265306123
1002602,259.0,7.613899613899614,2.0,0.7374517374517374,0.7335907335907336
1002700,68.0,8.367647058823529,6.0,0.5735294117647058,0.7205882352941176
1002800,271.0,7.199261992619927,4.0,0.7601476014760148,0.7564575645756457
1002900,70.0,9.371428571428572,3.0,0.7285714285714285,0.7428571428571429
1003001,225.0,7.808888888888889,8.0,0.7866666666666666,0.7111111111111111
1003002,93.0,9.268817204301076,7.0,0.6129032258064516,0.6451612903225806
1003100,92.0,6.456521739130435,3.0,0.6304347826086957,0.5
1003200,260.0,8.65,4.0,0.7461538461538462,0.6384615384615384
1003300,143.0,7.363636363636363,8.0,0.6713286713286714,0.5244755244755245
1003400,305.0,7.534426229508196,2.0,0.8032786885245902,0.7311475409836066
1003601,146.0,9.931506849315069,3.0,0.815068493150685,0.684931506849315
1003602,154.0,8.694805194805195,4.0,0.8116883116883117,0.7012987012987013
1003700,475.0,6.976842105263158,11.0,0.6463157894736842,0.6589473684210526
1003800,322.0,10.161490683229813,10.0,0.7763975155279503,0.5714285714285714
1003900,480.0,6.502083333333333,16.0,0.7,0.7395833333333334
1004000,300.0,9.386666666666667,7.0,0.7833333333333333,0.63
1004100,84.0,7.059523809523809,1.0,0.8452380952380952,0.38095238095238093
1004200,78.0,7.67948717948718,2.0,0.6153846153846154,0.3717948717948718
1004300,210.0,7.295238095238095,13.0,0.7857142857142857,0.680952380952381
1004400,255.0,9.854901960784314,1.0,0.9568627450980393,0.9529411764705882
1004500,25.0,4.16,0.0,0.88,0.68
1004700,144.0,8.055555555555555,8.0,0.6527777777777778,0.5347222222222222
1004800,253.0,8.956521739130435,5.0,0.83399209486166,0.5533596837944664
1004900,229.0,8.45414847161572,2.0,0.8602620087336245,0.6157205240174672
1005000,355.0,8.684507042253522,5.0,0.8,0.6732394366197183
1005200,86.0,6.453488372093023,4.0,0.813953488372093,0.7558139534883721
1005400,98.0,7.775510204081633,5.0,0.9081632653061225,0.8469387755102041
1005501,97.0,9.628865979381443,4.0,0.6494845360824743,0.44329896907216493
1005502,110.0,9.072727272727272,1.0,0.7272727272727273,0.2727272727272727
1005600,156.0,6.089743589743589,19.0,0.9038461538461539,0.8910256410256411
1005700,32.0,13.25,0.0,0.6875,0.46875
1005800,69.0,6.217391304347826,3.0,0.9420289855072463,1.0
1005900,173.0,8.31791907514451,2.0,0.6820809248554913,0.6011560693641619
1006000,173.0,11.289017341040463,2.0,0.8670520231213873,0.45664739884393063
1006100,154.0,9.422077922077921,2.0,0.564935064935065,0.7142857142857143
1006200,47.0,6.276595744680851,7.0,0.46808510638297873,0.7872340425531915
1006300,267.0,10.441947565543071,3.0,0.846441947565543,0.6367041198501873
1006400,276.0,9.507246376811594,5.0,0.7789855072463768,0.4746376811594203
1006500,339.0,9.345132743362832,8.0,0.5221238938053098,0.25663716814159293
1006600,297.0,9.01010101010101,8.0,0.7845117845117845,0.5757575757575758
1006700,386.0,9.61139896373057,9.0,0.727979274611399,0.5155440414507773
1006800,203.0,8.576354679802956,2.0,0.7980295566502463,0.7684729064039408
1006900,251.0,8.334661354581673,12.0,0.7808764940239044,0.5856573705179283
1007000,272.0,8.908088235294118,10.0,0.6029411764705882,0.3492647058823529
1007100,272.0,10.4375,7.0,0.6691176470588235,0.4411764705882353
1007200,278.0,8.37410071942446,3.0,0.6223021582733813,0.4856115107913669
1007300,433.0,9.665127020785219,8.0,0.6836027713625866,0.5011547344110855
1007400,117.0,6.0256410256410255,4.0,0.6666666666666666,0.5042735042735043
1007500,368.0,9.315217391304348,10.0,0.842391304347826,0.6603260869565217
1007600,46.0,8.195652173913043,2.0,0.6086956521739131,0.5217391304347826
1007700,390.0,8.925641025641026,9.0,0.8076923076923077,0.6538461538461539
1007800,277.0,8.259927797833935,9.0,0.6101083032490975,0.2815884476534296
1007900,403.0,8.647642679900745,11.0,0.8138957816377171,0.7270471464019851
1008000,297.0,8.272727272727273,4.0,0.7474747474747475,0.6060606060606061
1008100,228.0,8.657894736842104,3.0,0.881578947368421,0.7982456140350878
1008200,190.0,7.331578947368421,2.0,0.7368421052631579,0.7789473684210526
1008300,158.0,6.430379746835443,8.0,0.9493670886075949,0.930379746835443
1008400,39.0,6.871794871794871,2.0,0.8974358974358975,0.8717948717948718
1008601,87.0,10.298850574712644,1.0,0.7011494252873564,0.14942528735632185
1008602,14.0,12.571428571428571,0.0,1.0,1.0
1008603,196.0,9.933673469387756,4.0,0.8877551020408163,0.673469387755102
1008700,206.0,8.04368932038835,8.0,0.941747572815534,0.8980582524271845
1008800,288.0,8.03125,9.0,0.7361111111111112,0.23958333333333334
1008900,293.0,9.621160409556314,10.0,0.9010238907849829,0.9453924914675768
1009000,315.0,7.682539682539683,7.0,0.7587301587301587,0.5650793650793651
1009100,187.0,7.925133689839572,4.0,0.8983957219251337,0.8342245989304813
1009200,110.0,6.990909090909091,5.0,0.6727272727272727,0.3
1009300,221.0,9.375565610859729,11.0,0.9366515837104072,0.9819004524886877
1009400,49.0,4.877551020408164,2.0,0.5306122448979592,0.32653061224489793
1009500,108.0,5.638888888888889,6.0,0.6759259259259259,0.37962962962962965
1009600,69.0,7.028985507246377,0.0,0.463768115942029,0.3333333333333333
1009700,94.0,8.361702127659575,3.0,0.8617021276595744,0.9787234042553191
1009800,317.0,8.40378548895899,6.0,0.7570977917981072,0.41324921135646686
1009900,673.0,7.096582466567607,24.0,0.9093610698365527,0.7280832095096582
1010000,193.0,7.227979274611399,1.0,0.6580310880829016,0.41968911917098445
1010100,22.0,7.636363636363637,2.0,0.9090909090909091,0.7727272727272727
1010200,95.0,6.6421052631578945,7.0,0.6105263157894737,0.4
1010300,65.0,7.507692307692308,4.0,0.8307692307692308,0.9692307692307692
1010400,181.0,6.558011049723757,5.0,0.6961325966850829,0.055248618784530384
1010601,243.0,8.337448559670781,5.0,0.7119341563786008,0.5267489711934157
1010602,177.0,7.5141242937853105,12.0,0.6384180790960452,0.2033898305084746
1010800,326.0,8.242331288343559,3.0,0.7668711656441718,0.46319018404907975
1010900,21.0,6.333333333333333,0.0,0.6190476190476191,0.8095238095238095
1011000,300.0,8.53,3.0,0.6366666666666667,0.4
1011100,186.0,5.543010752688172,11.0,0.9247311827956989,0.967741935483871
1011201,39.0,5.153846153846154,3.0,0.4358974358974359,0.15384615384615385
1011202,55.0,5.454545454545454,8.0,0.5636363636363636,0.2545454545454545
1011203,73.0,6.027397260273973,0.0,0.7945205479452054,0.410958904109589
1011300,6.0,8.166666666666666,0.0,0.6666666666666666,0.16666666666666666
1011401,135.0,7.7481481481481485,2.0,0.8074074074074075,0.6148148148148148
1011402,144.0,9.868055555555555,3.0,0.5347222222222222,0.2569444444444444
1011500,125.0,5.688,15.0,0.656,0.64
1011600,175.0,8.82857142857143,4.0,0.6342857142857142,0.09142857142857143
1011700,121.0,7.1652892561983474,17.0,0.8677685950413223,0.71900826446281
1011800,356.0,9.061797752808989,9.0,0.5898876404494382,0.5421348314606742
1011900,29.0,6.448275862068965,2.0,0.6896551724137931,0.034482758620689655
1012000,406.0,9.79064039408867,10.0,0.7536945812807881,0.5738916256157636
1012100,289.0,8.71280276816609,2.0,0.7958477508650519,0.5363321799307958
1012200,363.0,8.818181818181818,6.0,0.790633608815427,0.5922865013774105
1012400,275.0,7.72,4.0,0.48727272727272725,0.3563636363636364
1012500,36.0,5.527777777777778,5.0,0.4166666666666667,0.1388888888888889
1012600,293.0,9.348122866894197,17.0,0.7235494880546075,0.2832764505119454
1012700,311.0,9.585209003215434,9.0,0.7942122186495176,0.4983922829581994
1012800,434.0,9.421658986175116,6.0,0.7995391705069125,0.43548387096774194
